id,name,latitude,longitude,category
1,Alcatraz Island,37.82673,-122.42287,Historic
6,Walt Disney Family Museum,37.80137,-122.45871,Historic
13,Palace of Fine Arts,37.80292,-122.44839,Historic
16,Ferry Building Marketplace,37.79549,-122.3936,Historic
17,Chinatown (SF),37.7943,-122.4064,Historic
19,Alamo Square (Painted Ladies),37.77622,-122.43279,Historic
22,Jack London Square (Oakland),37.79315,-122.27087,Historic
27,Hiller Aviation Museum,37.5127,-122.25289,Historic
28,Winchester Mystery House,37.31828,-121.95135,Historic
35,USS Hornet Museum,37.77274,-122.30288,Historic
36,Pacific Pinball Museum,37.77375,-122.27659,Historic
